Year,Month,Category,Region,Units_Sold,Revenue,Profit,Customer_Rating,Ad_Spend,profit_margin
2020,December,Fashion,West,332,44296.7,12934.97,4.7,4422.17,0.29200753103504323
2024,May,Home Decor,South,287,9377.13,1958.42,1.4,3843.13,0.20885068245827884
2021,October,Fashion,North,184,31343.68,7961.39,3.1,3691.34,0.25400303984726746
2020,January,Fashion,West,361,29919.66,3814.91,3.1,109.77,0.1275051253924677
2021,January,Books,South,114,22316.68,4067.53,1.3,1292.84,0.18226411813943652
2021,December,Books,South,346,20676.75,3895.74,3.8,3904.38,0.18841162174906598
2021,May,Fashion,South,173,11360.73,3176.79,1.9,778.28,0.27962903792273913
2022,January,Beauty Products,East,20,2643.26,274.77,2.2,1091.3,0.10395118149557742
2023,May,Beauty Products,North,113,2446.3,329.88,4.5,4848.87,0.13484854678494052
2020,June,Books,West,480,36762.29,8377.84,1.9,4677.81,0.22789222325377445
2024,August,Books,South,75,3512.1,796.24,4.0,194.32,0.22671336237578657
2022,November,Electronics,South,500,89332.68,18897.51,2.5,4444.79,0.21154083813448785
2022,January,Fashion,East,237,44517.46,6894.05,4.6,577.21,0.1548617104390053
2023,December,Electronics,East,410,53242.47,7170.79,1.3,2102.43,0.1346817681448663
2020,August,Groceries,West,325,35704.8,10539.89,1.1,691.61,0.29519532387802194
2023,October,Fashion,North,214,4311.33,1055.13,2.9,709.42,0.24473422354586638
2024,November,Books,West,255,44055.87,8792.71,3.3,3780.91,0.19958089580344227
2020,September,Home Decor,East,169,33006.0,7902.42,2.9,1020.17,0.2394237411379749
2023,May,Books,East,102,5332.2,619.75,4.8,3014.68,0.11622782341247516
2023,June,Fashion,North,451,17447.53,5142.81,3.3,3950.4,0.2947586277255291
2023,January,Electronics,South,251,4963.63,1304.86,3.0,4581.32,0.2628842198149338
2022,July,Home Decor,North,307,52303.78,15054.26,4.0,3291.99,0.28782355692074263
2021,December,Beauty Products,North,463,25706.33,3014.58,2.0,4670.78,0.1172699486857906
2021,October,Electronics,West,348,65915.18,18923.91,4.2,1816.33,0.28709486949743596
2021,July,Fashion,East,488,21750.38,4932.91,3.3,3202.98,0.22679649734855206
2021,February,Fashion,East,167,2311.3,388.79,4.3,4181.54,0.16821269415480464
2022,February,Groceries,North,203,16775.31,4367.64,1.1,1262.81,0.260361209420273
2022,October,Fashion,East,117,2134.79,540.23,2.8,1597.4,0.2530600199551244
2022,February,Electronics,East,418,7987.81,2119.95,4.5,4924.35,0.2653981504317203
2020,March,Fashion,West,304,19273.66,5703.56,3.1,905.14,0.2959251123035272
2022,December,Home Decor,North,430,21959.75,4944.86,4.0,2574.28,0.2251783376404558
2021,December,Fashion,North,366,25479.55,3011.82,1.4,2632.04,0.1182053843180119
2023,March,Books,South,262,44301.13,5227.03,3.8,1657.79,0.1179886382130659
2022,February,Books,West,113,2983.23,712.92,4.8,3456.65,0.23897587514204402
2023,December,Beauty Products,West,438,21905.68,3190.18,4.8,209.17,0.14563254827058553
2024,September,Books,South,444,28394.21,4828.43,4.9,4242.64,0.1700498094505887
2020,September,Home Decor,South,390,25445.3,4843.45,2.2,3907.03,0.19034752979921635
2023,October,Fashion,East,202,21329.33,3089.64,3.8,4733.43,0.14485405776927826
2023,October,Home Decor,West,360,37178.19,10667.69,3.1,2687.15,0.2869340868934179
2021,August,Electronics,West,362,32858.38,6872.42,4.8,2545.06,0.20915273364055076
2021,June,Electronics,East,189,5304.37,1294.08,2.5,3721.49,0.2439648817861499
2024,November,Books,East,222,23679.42,6164.07,4.5,1100.31,0.2603133860542192
2023,October,Fashion,East,184,19112.7,2968.29,4.4,4474.94,0.1553045880487843
2021,August,Electronics,West,128,6833.33,711.73,3.9,3246.39,0.10415566056373686
2020,October,Books,East,273,49439.23,7642.91,1.1,4114.54,0.15459201124289354
2020,October,Electronics,West,25,1945.22,255.09,4.0,3724.71,0.1311368379926178
2024,April,Books,North,437,52817.98,6525.69,5.0,1023.87,0.12355054093322007
2024,June,Beauty Products,West,312,26921.52,5146.11,4.8,827.82,0.19115228263485864
2024,December,Home Decor,West,427,14458.98,2634.62,5.0,955.68,0.18221340647818865
2024,March,Fashion,South,395,70597.5,17380.29,3.0,4468.45,0.2461884627642622
2023,May,Electronics,South,419,37197.13,5700.74,2.7,3559.13,0.15325752282501365
2022,July,Beauty Products,North,431,78510.09,8257.7,2.0,1527.9,0.10518011124429995
2020,July,Beauty Products,North,414,41769.15,5232.91,3.7,787.35,0.12528169713772006
2020,May,Electronics,North,327,9985.95,2510.3,3.2,1534.12,0.25138319338670834
2020,March,Books,West,21,2275.69,348.81,2.0,4691.55,0.15327658863905014
2021,August,Electronics,West,95,7766.03,1282.22,1.8,2428.75,0.16510623832254062
2020,September,Groceries,North,242,38926.25,10713.2,3.6,2777.24,0.27521787996531905
2022,March,Fashion,East,25,933.0,251.73,4.1,3484.37,0.26980707395498393
2020,August,Books,East,231,37405.98,3855.14,4.4,1387.21,0.10306213070744302
2020,January,Home Decor,East,301,29655.09,8341.07,3.7,173.97,0.2812694212022287
2024,May,Beauty Products,East,306,54894.11,8364.91,3.3,2581.51,0.1523826508891391
2020,June,Books,South,340,29961.6,7324.05,3.4,4580.69,0.2444478933034284
2022,November,Home Decor,North,406,12147.74,3287.65,1.9,3846.78,0.27063881841396015
2022,October,Beauty Products,East,355,25804.81,4028.47,2.5,2905.9,0.1561131432473248
2023,February,Beauty Products,North,410,71893.66,8339.7,1.1,3829.57,0.1160004929502824
2024,August,Beauty Products,East,155,23581.28,5678.5,3.5,3149.89,0.24080541853538062
2022,February,Beauty Products,East,457,64973.73,9919.91,1.0,1662.99,0.15267570447317708
2022,February,Fashion,West,178,17888.56,3826.26,1.7,1921.58,0.21389424302459226
2024,September,Beauty Products,West,129,8789.14,2024.68,2.4,508.28,0.23036155983406797
2022,January,Home Decor,South,234,46710.36,6425.61,4.5,2573.63,0.13756284473080488
2022,December,Home Decor,East,272,7615.51,2207.88,2.7,3178.15,0.28991886295205443
2023,June,Beauty Products,North,489,86014.73,16815.52,4.3,1047.71,0.19549581798373372
2024,October,Beauty Products,North,31,3141.03,924.0,3.8,370.78,0.2941710203340942
2022,July,Groceries,North,214,33906.5,6253.46,1.5,4782.76,0.18443248344712665
2023,January,Groceries,West,268,19385.48,4265.51,4.3,3826.37,0.22003633647451598
2023,March,Beauty Products,East,306,58456.05,6664.7,2.0,1841.29,0.11401215100917697
2022,January,Books,South,329,3434.77,492.22,3.0,2166.16,0.14330508301865919
2021,December,Groceries,North,395,24704.7,6324.87,4.9,1417.26,0.25601889518998405
2020,January,Groceries,South,107,3058.58,519.64,4.8,2749.84,0.1698958340144773
2020,May,Electronics,North,222,3860.75,416.61,4.0,4291.33,0.10790908502234023
2023,September,Books,West,374,64907.32,17567.4,1.7,3654.43,0.2706536027061355
2020,June,Electronics,North,199,13198.06,3600.34,4.8,4662.98,0.272793122625598
2021,May,Electronics,North,480,26144.29,6747.7,2.3,1821.29,0.2580945973289005
2020,February,Beauty Products,North,119,16501.11,3231.92,1.2,4869.35,0.19586076330622607
2024,May,Fashion,East,387,34229.14,6034.1,1.0,1517.75,0.17628546904771783
2022,May,Electronics,South,412,78002.3,16608.92,4.5,3892.25,0.21292859313122814
2021,July,Groceries,North,127,4790.3,1414.03,2.9,4143.31,0.29518610525436817
2022,November,Beauty Products,South,219,22942.27,4269.15,3.7,1286.76,0.18608228392395346
2021,June,Electronics,South,105,12090.46,3252.92,4.9,4067.43,0.26904848947021043
2021,May,Fashion,South,368,34167.55,7351.49,2.2,437.95,0.2151599983024829
2023,January,Beauty Products,East,390,30713.03,5994.18,3.7,3146.52,0.19516732800378211
2021,December,Groceries,South,180,2516.96,554.15,1.6,2319.61,0.22016639120208503
2021,October,Home Decor,South,86,2898.24,494.41,3.9,2977.53,0.17058973721982998
2024,December,Beauty Products,West,495,37800.48,6286.45,2.7,3873.73,0.1663060892348457
2024,September,Electronics,East,291,48549.42,10294.12,3.5,2935.05,0.21203384098100453
2021,November,Home Decor,East,96,5139.83,1153.33,1.0,4628.17,0.22439068996445408
2021,January,Home Decor,East,293,14133.52,4016.14,4.0,1071.21,0.2841570960383542
2021,February,Electronics,North,248,15551.01,2073.49,5.0,141.23,0.13333474803244288
2023,January,Books,South,315,7911.59,969.8,2.6,1146.51,0.12257965845045053
2021,February,Groceries,North,492,42555.97,10380.68,2.3,3173.16,0.2439300525872163
2023,October,Beauty Products,West,296,27362.12,6306.95,4.9,2099.66,0.23049931803529844
2022,November,Fashion,West,353,32060.68,7917.33,3.8,1349.23,0.24694828681113437
2022,June,Home Decor,East,193,23024.83,2640.67,1.4,4543.83,0.11468792603463304
2023,June,Books,East,56,8760.19,1202.31,3.1,3111.17,0.13724702318100404
2020,October,Fashion,East,121,17764.45,5051.5,1.8,2727.32,0.2843600561796171
2020,May,Books,South,395,21198.25,4097.84,2.9,2522.05,0.1933102968405411
2021,May,Books,North,476,37351.7,9768.68,2.3,3225.18,0.26153240682485673
2024,September,Home Decor,West,275,5659.33,1497.88,3.5,1747.04,0.2646744402605962
2023,January,Home Decor,East,238,25748.8,6872.49,2.4,2999.72,0.26690525383707203
2020,July,Electronics,North,89,6086.62,1360.61,1.1,1461.96,0.22354114434612313
2020,October,Books,East,207,8748.15,2239.34,1.2,4906.31,0.25597869263787204
2020,June,Books,North,349,12673.57,2004.26,4.5,1676.42,0.15814486368087288
2022,May,Electronics,East,356,32910.16,4450.76,1.7,798.25,0.13523969497565494
2023,January,Beauty Products,East,491,39011.1,5313.82,2.8,1327.13,0.13621302654885403
2024,January,Electronics,East,365,63595.05,18050.89,2.6,2763.69,0.28384111656488986
2022,April,Groceries,South,94,14801.45,3375.07,4.5,3583.41,0.22802293018589395
2022,February,Electronics,North,25,2970.62,534.34,1.8,3499.88,0.17987490826830765
2022,October,Home Decor,East,245,10233.72,2996.33,4.0,1368.29,0.2927899141270232
2024,February,Fashion,South,232,33490.4,5920.4,3.4,3085.79,0.17677901727062081
2020,June,Books,West,79,1787.93,326.6,3.9,4481.9,0.18266934387811604
2021,February,Beauty Products,East,140,21201.23,3061.95,1.6,2352.95,0.1444232245015973
2023,April,Books,North,167,14895.52,3001.56,4.4,2892.83,0.2015075673759627
2020,July,Beauty Products,East,350,9235.13,2522.93,4.1,1468.95,0.2731883579332397
2021,December,Home Decor,North,94,18254.78,4490.09,4.0,797.18,0.24596790539245067
2024,January,Beauty Products,West,465,55297.96,15440.84,3.6,3381.77,0.2792298305398608
2021,June,Beauty Products,West,177,13382.93,2921.26,5.0,3485.23,0.2182825435087832
2020,March,Groceries,East,311,15075.75,1744.63,2.8,1177.68,0.11572425915791919
2020,November,Electronics,West,111,5467.11,994.32,1.5,1686.54,0.1818730554168473
2020,July,Electronics,North,286,33330.14,4046.05,3.0,1862.64,0.12139312946180245
2023,July,Groceries,South,370,19596.98,3683.75,2.1,880.06,0.18797539212674608
2020,February,Beauty Products,South,74,12119.3,2196.32,3.8,1047.26,0.18122498824189517
2022,May,Electronics,West,289,34156.36,8903.58,4.7,369.12,0.2606712190643265
2022,March,Electronics,South,322,8181.32,2010.57,1.5,1637.23,0.24575129685674194
2023,June,Groceries,East,292,13557.76,2382.17,1.5,3482.23,0.1757052787481118
2024,March,Beauty Products,East,183,4543.44,1062.85,2.1,1297.71,0.2339306780765235
2024,August,Home Decor,North,483,20839.53,3690.84,1.3,1183.86,0.17710764110323027
2022,April,Home Decor,South,313,42430.45,7254.29,3.7,4986.12,0.17096896214864563
2024,March,Beauty Products,South,496,80914.5,17192.41,1.9,2134.26,0.21247625580087623
2021,November,Home Decor,East,249,8773.1,2479.26,4.4,3563.94,0.28259794143461264
2024,March,Home Decor,East,447,58060.52,8554.9,2.6,2205.63,0.1473445294668391
2020,September,Home Decor,South,215,22083.5,3693.03,3.2,2723.22,0.16723028505445242
2023,April,Electronics,North,267,8789.5,2014.58,1.4,122.16,0.2292030263382445
2021,December,Books,West,315,8721.86,897.66,1.8,4434.2,0.1029207072803278
2022,January,Electronics,South,495,37159.56,3867.02,2.2,2204.43,0.10406527956735764
2023,April,Groceries,East,249,38364.43,6255.69,1.8,4775.26,0.1630596362307481
2024,December,Beauty Products,South,298,19371.61,4780.94,1.4,908.76,0.24680137582782224
2021,March,Electronics,North,287,41224.3,6748.27,3.0,4420.65,0.1636964120676397
2024,January,Electronics,West,261,40254.98,9717.07,2.7,995.87,0.24138802205342044
2024,July,Beauty Products,South,370,33310.85,7672.16,3.3,558.46,0.23032015094181027
2020,November,Groceries,East,128,18290.58,3081.96,4.2,3641.48,0.16849985074284138
2021,July,Home Decor,South,494,50117.19,11744.58,3.2,4505.12,0.23434234840381113
2024,April,Fashion,North,341,59087.43,16956.2,2.9,1811.03,0.286967972714332
2022,November,Electronics,East,278,16344.12,4371.55,3.0,3769.88,0.2674692794717611
2021,October,Books,East,31,1601.94,207.52,2.4,4311.39,0.129542929198347
2022,December,Beauty Products,East,258,15735.5,1799.61,2.9,1608.81,0.11436624193702138
2021,March,Groceries,North,313,50907.49,7407.87,2.9,4405.94,0.14551630811104613
2024,October,Home Decor,East,431,46604.71,11345.24,1.2,2198.77,0.24343548109193255
2023,March,Groceries,North,411,10133.71,1887.54,4.2,505.95,0.18626347112755348
2022,April,Beauty Products,East,490,58241.49,14127.38,3.6,4617.42,0.24256556623122108
2024,March,Fashion,North,333,27829.77,7319.1,2.9,3333.28,0.2629953463503292
2023,June,Groceries,North,310,4899.14,1078.96,2.8,1721.55,0.22023457178198622
2022,November,Books,East,136,7479.35,1966.21,3.4,2759.06,0.2628851437624927
2021,August,Groceries,North,53,7839.58,1435.99,2.8,4282.28,0.1831718025710561
2023,July,Fashion,East,184,6830.32,936.95,3.0,1808.02,0.13717512503074528
2020,March,Electronics,North,460,85785.88,15775.93,3.4,3673.24,0.18389891203540723
2022,February,Groceries,South,125,17018.65,4133.45,3.3,162.98,0.242877666559921
2021,June,Beauty Products,East,491,76062.28,7883.42,2.0,1530.72,0.10364427676898458
2021,April,Books,North,461,57179.45,11124.09,1.5,862.63,0.1945469919700172
2021,October,Groceries,South,376,6064.52,1806.24,1.8,1835.94,0.29783725669962335
2021,October,Home Decor,East,473,42511.07,9221.43,1.9,4431.39,0.21691832268630265
2022,May,Home Decor,North,421,77529.47,13579.42,4.5,909.54,0.1751517197267052
2021,March,Groceries,East,334,64049.34,17703.98,1.3,2720.33,0.27641159143872523
2022,December,Home Decor,North,185,9672.79,1843.87,1.6,2116.66,0.1906244217025284
2023,March,Groceries,West,474,6198.74,1483.6,1.9,1781.35,0.23933896243430117
2022,February,Electronics,South,309,61677.0,18207.47,4.7,4692.01,0.2952068031843313
2022,August,Groceries,South,363,58875.6,9922.88,4.7,2218.95,0.16853976859683806
2024,December,Electronics,South,255,28441.25,3212.17,1.1,4977.04,0.11294053531402452
2023,July,Fashion,North,239,20314.77,2700.94,4.5,3367.16,0.13295449566989928
2023,July,Books,North,287,28801.89,7396.51,2.6,3219.1,0.25680641096816914
2022,October,Home Decor,West,491,75769.41,15707.33,5.0,892.4,0.2073043725693522
2021,June,Groceries,East,116,7947.81,1684.58,3.2,4291.21,0.2119552430166297
2024,June,Books,South,95,10451.63,2582.49,1.9,2642.15,0.2470896884026702
2020,October,Home Decor,East,377,27268.75,2972.57,4.4,1381.79,0.10901013064405227
2023,August,Beauty Products,East,96,7169.38,1077.65,3.0,3437.09,0.15031285829458058
2022,August,Home Decor,East,464,84601.34,10343.47,4.3,921.41,0.12226130224414884
2021,July,Electronics,West,166,16248.24,2798.94,3.0,3008.02,0.17226111874270691
2021,March,Beauty Products,South,382,46715.43,12158.64,3.0,2802.13,0.2602703218187224
2020,March,Fashion,South,94,17489.75,2108.63,3.9,3908.09,0.12056375877299562
2021,March,Fashion,East,127,4574.86,879.49,1.2,923.32,0.19224413424673106
2020,May,Fashion,East,67,3255.03,899.4,1.6,3416.98,0.27631081741182106
2023,October,Electronics,South,408,48654.18,13247.05,2.2,2786.95,0.2722695151783464
2022,July,Books,West,442,55922.74,8973.6,1.6,4625.6,0.1604642404860706
2024,January,Home Decor,South,166,28597.85,6147.26,3.4,3705.3,0.21495532006776735
2022,February,Groceries,West,431,35405.6,9967.06,4.1,2003.87,0.2815108344442687
2024,January,Fashion,North,439,33156.36,5139.18,2.7,2709.44,0.1549983170649613
2020,February,Home Decor,North,145,7289.84,1497.54,2.7,1202.25,0.2054283770288511
2022,December,Home Decor,South,262,34387.11,6799.45,2.4,4865.27,0.19773252244809172
2023,August,Home Decor,South,393,7129.88,1250.63,4.9,4903.8,0.17540687921816356
2024,October,Beauty Products,East,347,54346.04,15833.43,4.9,4158.42,0.29134468675178543
2021,January,Home Decor,West,346,61496.63,16532.83,1.3,1440.35,0.2688412356904761
2023,July,Books,North,341,45700.54,6384.21,3.5,4032.97,0.13969659877104296
2023,January,Electronics,South,410,32971.59,8031.37,2.4,3256.08,0.24358455264062184
2023,May,Groceries,South,451,46428.31,11223.41,1.8,2216.92,0.24173634577696237
2020,September,Fashion,North,258,40954.84,4936.41,3.7,4086.49,0.1205330065994642
2024,January,Home Decor,West,174,31857.15,8644.47,2.9,4125.31,0.271351015392149
2021,January,Home Decor,East,411,76154.29,9481.56,4.0,1154.07,0.12450460768526632
2024,December,Fashion,East,257,19338.73,3505.99,4.8,2344.85,0.1812937043952731
2021,October,Fashion,South,30,5020.55,1038.1,4.4,323.59,0.20677017458246605
2022,November,Fashion,North,351,6929.13,987.63,4.6,4200.88,0.14253304527408203
2022,January,Groceries,East,156,2374.64,302.69,3.0,4221.34,0.12746774247885995
2021,August,Home Decor,North,404,6454.98,1726.14,2.6,4035.21,0.2674121376053838
2020,November,Electronics,East,166,31479.48,8344.08,3.2,2285.96,0.2650640988987112
2022,November,Books,East,314,6009.23,1116.01,2.2,2085.31,0.18571597359395464
2021,October,Fashion,South,291,46907.26,10608.9,1.0,4936.03,0.2261675484775704
2023,April,Fashion,West,154,29180.46,8014.96,3.4,1233.36,0.2746687338033739
2023,September,Electronics,North,340,67807.95,7429.01,2.4,4640.67,0.10955957229203951
2021,July,Beauty Products,South,86,6139.38,864.26,4.5,830.2,0.14077317253533744
2022,November,Beauty Products,West,395,56527.6,10401.51,5.0,3774.62,0.18400763520828764
2023,February,Fashion,North,470,46191.6,8501.81,2.5,4577.54,0.18405532607660266
2023,July,Books,North,230,42530.26,10078.69,3.9,4118.53,0.2369769194921451
2020,November,Fashion,South,123,22903.25,5612.31,4.0,2599.0,0.24504426227718776
2020,February,Home Decor,North,430,18582.49,3244.51,3.3,2889.91,0.1746003899369783
